GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT5G16970	7	17	4	5
AT2G43120	36	31	32	15
AT3G18710	16	23	37	15
AT4G25880	58	78	59	56
AT1G78930	3	3	3	1
AT3G07950	33	40	24	18
AT4G03450	0	0	0	0
AT1G71695	14	31	8	14
AT1G58983	0	0	0	0
AT5G41480	2	4	4	5
AT3G51870	1	0	1	0
AT4G29950	33	40	53	40
AT3G18310	8	14	6	9
AT5G07360	29	38	12	10
AT4G26490	3	2	4	2
AT5G46240	1	0	0	0
AT5G62260	22	30	15	18
AT3G25717	13	30	91	31
AT1G45223	0	0	0	0
AT5G35715	0	0	0	0
AT2G21390	172	273	126	124
AT3G48330	23	14	17	13
AT4G32710	6	6	5	2
AT3G46440	50	59	32	27
AT2G21930	0	0	0	0
AT3G53910	0	0	0	0
AT1G71528	10	5	4	7
AT4G25090	158	174	87	79
AT1G56250	1	0	1	1
AT3G16830	42	93	43	42
AT5G20470	0	2	10	1
AT5G04950	18	41	77	121
AT4G13720	10	12	7	12
AT5G50110	8	4	0	3
AT3G03305	21	32	28	10
AT5G66670	14	12	15	3
AT4G08039	0	0	0	0
AT2G38310	61	75	50	71
AT2G26900	5	14	5	5
AT5G23000	0	2	3	0
AT1G66852	0	0	0	0
AT1G26208	0	2	2	0
AT1G69810	16	22	26	9
AT1G72450	6	10	9	12
AT5G03560	9	15	13	11
AT4G27340	2	2	2	1
AT1G28940	0	0	0	0
AT1G76280	2	7	5	6
AT3G03272	2	0	0	0
AT3G28960	0	0	0	0
AT3G10210	12	13	5	2
AT4G27830	6	7	0	2
AT5G46260	15	12	2	5
AT2G32710	10	16	9	8
AT5G27680	1	5	3	4
AT4G19380	0	0	0	0
AT5G61960	59	71	40	36
AT4G29180	3	6	1	3
AT3G09680	0	2	1	0
AT1G56233	0	0	0	0
AT1G15210	177	273	119	135
AT3G63470	6	15	4	10
AT2G16970	4	4	2	2
AT1G15250	14	13	9	8
AT1G79700	2	6	1	1
AT2G46620	55	45	103	72
AT3G46920	7	15	7	5
AT2G43750	60	72	55	53
AT5G10525	4	2	4	0
AT2G24490	2	2	7	1
AT3G57080	8	13	8	4
AT3G13820	0	0	0	0
AT2G15080	1	0	0	0
AT1G73360	2	4	1	0
AT1G16360	1	0	2	2
AT3G49770	0	0	0	0
AT1G26670	80	110	70	33
AT3G09505	0	0	1	0
AT1G52200	40	53	20	27
AT1G57800	0	0	0	0
AT4G23200	0	0	0	0
AT1G69460	31	32	30	18
AT1G04310	14	22	13	5
AT2G37678	12	8	6	6
AT3G56070	62	110	100	81
AT5G15420	0	0	0	0
AT5G06020	0	0	0	0
AT3G15251	1	0	1	0
AT1G75550	1	2	2	1
AT1G71890	0	0	0	0
AT1G05430	9	13	14	7
AT4G29810	20	34	25	17
AT3G02780	189	239	205	136
AT4G26560	5	0	3	2
AT1G80870	26	19	23	15
AT4G23670	159	167	93	47
AT2G46120	1	1	2	0
AT2G46225	10	12	8	5
AT5G18730	0	0	1	0
AT5G67570	5	5	8	4
AT1G75310	28	32	32	14
AT2G27700	0	1	0	0
AT1G02010	1	4	3	3
AT1G47900	37	50	30	18
AT5G57625	38	71	53	34
AT4G02725	2	6	2	1
AT5G66440	19	20	17	15
AT4G35440	2	1	0	0
AT3G52460	7	9	9	7
AT3G03702	0	0	0	0
AT4G26240	5	5	6	6
AT3G55380	19	28	20	17
AT1G26760	2	3	4	5
AT1G05250	5	3	0	1
AT3G44560	0	0	0	0
AT5G51680	15	14	15	11
AT4G10925	8	9	6	6
AT1G24575	15	11	10	5
AT4G31690	0	0	0	0
AT1G12790	1	1	1	1
AT4G34640	41	41	36	29
AT4G03340	4	4	6	1
AT2G37260	3	3	2	0
AT4G13550	7	17	8	9
AT1G04850	101	114	92	95
AT5G20560	0	0	0	0
AT3G17420	67	69	30	23
AT3G08780	24	29	23	17
AT1G31760	9	9	2	5
AT5G65470	28	22	20	10
AT1G33250	14	13	11	9
AT1G74000	2	2	3	0
AT3G55660	6	9	6	1
AT3G48480	1	2	2	0
AT5G66420	45	62	27	30
AT3G02740	34	35	25	17
AT1G55580	5	3	13	7
AT1G53903	0	1	0	0
AT3G63400	46	66	45	44
AT1G19715	12	11	4	2
AT2G04031	0	0	0	0
AT3G06130	34	50	28	8
AT5G50000	54	75	43	46
AT1G69430	1	1	0	0
AT1G53340	10	7	6	2
ATCG00160	6	4	5	1
AT3G05660	0	0	0	0
AT5G63820	0	1	0	0
AT3G24110	1	8	3	1
AT1G29890	6	7	9	4
AT2G47560	6	15	12	10
AT4G28600	48	77	52	40
AT3G44171	0	0	0	0
AT1G80290	13	19	12	8
AT1G56540	2	4	1	0
AT2G37390	0	4	1	3
AT2G06050	34	50	28	29
AT3G20920	29	46	34	17
AT5G26220	0	1	0	0
AT3G54830	0	0	0	0
AT3G09190	10	5	8	4
AT3G05545	43	75	34	38
AT1G48650	27	32	21	10
AT4G27400	3	2	1	1
AT2G35250	0	0	0	0
AT5G15730	17	21	18	14
AT1G22670	0	0	1	0
AT1G07030	22	36	24	12
AT5G61930	12	9	8	5
AT4G27260	43	61	23	20
AT1G10120	21	33	16	9
AT5G08760	0	0	0	0
AT2G38390	228	253	188	136
AT1G43650	2	3	4	7
AT3G26470	22	24	9	19
AT1G09960	13	18	9	2
AT4G27370	2	1	1	0
AT2G25250	10	10	7	2
AT5G42110	8	11	12	12
AT1G51990	0	0	0	0
AT5G23030	0	0	0	1
AT3G51100	19	8	11	3
AT3G29580	0	0	0	0
AT3G28370	2	2	2	1
AT2G15710	0	0	0	0
AT5G20250	63	129	108	139
AT4G21470	10	29	10	10
AT4G05220	1	0	0	0
AT4G04730	0	0	0	0
AT2G33520	0	0	1	0
AT1G53625	7	18	12	9
AT1G63360	2	2	1	1
AT1G33330	5	4	5	7
AT3G26840	7	10	2	7
AT5G55045	0	0	0	0
AT1G74929	0	0	0	0
AT3G29010	1	7	3	4
AT3G10450	0	0	2	1
AT4G34800	4	2	23	15
AT4G28340	2	1	0	0
AT1G63430	25	23	26	9
AT3G14510	2	6	0	1
AT1G80720	8	3	1	2
AT1G69770	6	16	7	9
AT1G08460	16	30	8	11
AT1G78710	3	5	2	1
AT4G03820	2	7	3	3
AT3G28930	1	2	0	1
AT3G52950	32	27	61	42
AT2G26330	0	0	0	0
AT1G08610	5	7	3	3
AT5G08070	0	0	0	0
AT1G17540	1	0	1	0
AT2G39280	10	14	7	7
AT1G27380	1	7	2	0
AT5G08450	71	112	79	58
AT5G14030	81	106	120	57
AT1G48953	0	0	0	0
AT5G66080	12	13	12	9
AT2G47730	165	235	95	104
AT2G02310	1	1	0	0
AT4G11020	0	0	1	3
AT3G50670	64	104	87	89
AT1G51440	1	1	1	0
AT1G21610	11	21	17	2
AT5G05340	0	1	0	0
AT5G45440	19	14	9	11
AT4G05110	0	0	0	0
AT5G25380	1	0	0	0
AT3G44080	0	0	0	0
AT1G79710	8	12	8	4
AT5G56920	0	0	0	0
AT5G38000	5	5	0	0
AT5G15050	5	8	0	2
